"factset_entity_id","equity_aum"
"0CWBH0-E ",242
"0CRMJD-E ",6
"0CR499-E ",233
"0C92ZQ-E ",440
"0D4P9Q-E ",46
"0CYK0M-E ",182
"0CQ5W5-E ",214
"0C916W-E ",21
"0CW0WG-E ",244
"0C1NNL-E ",150
"002XGG-E ",458
"001Y4H-E ",1482
"001XQ7-E ",1022
"05HQ77-E ",536
"001WQ7-E ",282
"05TJZB-E ",2163
"0B15FM-E ",33
"0C7SF4-E ",331
"0G4TG5-E ",271
"0HQP5M-E ",0
"076218-E ",36
"0GS2R4-E ",37807
"002T6P-E ",7583
"002SBB-E ",271
"0C7ZXZ-E ",190
"00D0Q7-E ",233
"05G1SL-E ",109
"00FC48-E ",1714
"0C7SF1-E ",158
"0D6K6D-E ",23
"0DPZ87-E ",121
"0D8K7R-E ",4753
"06ZJB3-E ",158
"0J46V8-E ",14
"00D07V-E ",406
"00D1BH-E ",333
"00D1NC-E ",334
"003SRN-E ",899
"070Q8W-E ",229
"06J5XW-E ",343
"06FKZT-E ",182
"0DKP8Z-E ",30
"068C29-E ",647
"0GY5CW-E ",31
"06QHVN-E ",85
"0JJVHD-E ",12256
"0GJGY0-E ",753
"004H05-E ",0
"07B8TH-E ",478
"0FK1SL-E ",153
"080Y7S-E ",1
"06VBRG-E ",118
"0D8WFJ-E ",164
"0GY7FT-E ",4
"0G620V-E ",7
"0C3PPV-E ",219
"0DX9BP-E ",251
"06LZ9W-E ",488
"0F9WZP-E ",30
"0DY1H9-E ",833
"06DQ1V-E ",295
"0JS8PS-E ",0
"004X5W-E ",13
"087KTZ-E ",318
"005DH0-E ",1574
