FactSetEntityId,Style,TurnoverLabel,TotalAUM
002GB3-E,Growth,Very Low,2780
002GB5-E,Value,Very Low,206398
002GBK-E,,,NULL
002GBN-E,Growth,Very Low,779
002GBP-E,,,NULL
002GBT-E,Growth,Very Low,NULL
002GC0-E,,,NULL
002GCJ-E,GARP,Very Low,778
002GD0-E,Value,Medium,5163
002GD9-E,Growth,Very Low,393
002GDT-E,Aggressive Growth,Very Low,NULL
002GF2-E,,,NULL
002GF6-E,GARP,Very Low,230
002GFH-E,Growth,Very Low,2938
002GFQ-E,,,NULL
002GFW-E,,,NULL
002GFX-E,,,NULL
002GFZ-E,,,NULL
002GG1-E,Growth,Very Low,1959
002GG4-E,Growth,Very Low,1613
002GG9-E,Growth,Very Low,NULL
